Dist Code,Dist Name,Latitude,Longitude,NDVI,NDMI,Precipitation,SoilHealthScore,SoilHealthCategory
1,Durg,21.1982964,81.40079215767969,0.0883361920714378,0.1061830669641494,0.2431623935699463,3.4,Good Soil Health
2,Bastar,19.11912825,81.82918648971713,0.3433539569377899,-0.0544483922421932,0.1725043505430221,2.5,Poor Soil Health
3,Raipur,21.2380912,81.6336993,0.1190727055072784,0.027043804526329,0.2296166121959686,3.4,Good Soil Health
4,Bilaspur,22.1638486,82.13659231724193,0.3825480937957763,0.0521782971918582,0.201647937297821,3.4,Good Soil Health
5,Raigarh,22.23617945,83.35295335037318,0.2433869689702987,-0.0781639590859413,0.2101341485977172,2.8000000000000003,Poor Soil Health
6,Surguja,22.94691345,83.1656942260687,0.381280779838562,0.053324606269598,0.1633119881153106,3.0999999999999996,Good Soil Health
7,Jabalpur,23.1701522,79.9324505,0.1500937789678573,0.0150721725076437,0.2498976439237594,3.4,Good Soil Health
8,Balaghat,21.8611589,80.3237104768576,0.7055028676986694,0.2252327352762222,0.2505718171596527,3.8000000000000003,Good Soil Health
9,Chhindwara,22.20718965,78.79883295930742,0.3838415443897247,-0.0371602214872837,0.2248031795024871,2.8000000000000003,Poor Soil Health
10,Narsinghpur,22.93455595,79.08678489806229,0.5261799097061157,0.2129170596599578,0.2289205342531204,3.8000000000000003,Good Soil Health
11,Seoni,22.2748109,79.72025222428486,0.394424170255661,0.0946710109710693,0.2111864537000656,3.4,Good Soil Health
12,Mandla,22.6871074,80.58163411525186,0.3769226372241974,0.0968300998210907,0.2263833582401275,3.4,Good Soil Health
13,Sagar,23.80830755,78.75825398721975,0.4466289579868316,0.1458049267530441,0.2149221897125244,3.4,Good Soil Health
14,Damoh,23.7981005,79.54193561694873,0.2493000030517578,-0.0306241177022457,0.1971743702888488,2.5,Poor Soil Health
15,Tikamgarh,24.85521045,79.04725459918899,0.2752904295921325,-0.0300080627202987,0.1917308866977691,2.5,Poor Soil Health
16,Chhatarpur,24.76060895,79.67817759088484,0.3008997142314911,-0.0076743555255234,0.1737846583127975,2.5,Poor Soil Health
17,Panna,24.44989305,80.14627227486437,0.281084269285202,0.0325217396020889,0.2100483626127243,3.4,Good Soil Health
18,Rewa,24.75608455,81.38105738502682,0.4378302097320556,0.1624208241701126,0.1555513441562652,3.0999999999999996,Good Soil Health
19,Sidhi,24.2112687,81.70004154154752,0.485804408788681,0.0336577892303466,0.1285627484321594,3.0999999999999996,Good Soil Health
20,Satna,24.6954445,80.77703482475752,0.3838381171226501,0.0663745701313018,0.155157670378685,3.0999999999999996,Good Soil Health
